bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[TensorBoard] Logging enabled: parallel_experiments/HalfCheetah-v2_20250728_044213/seed_7/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/HalfCheetah-v2_20250728_044213/seed_7/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 6,
    'alpha': 0.7,
#Games: 132 #Frames: 132000  Train_Max: 2424.98  Test_Score: 2409.14  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2905.23  PG Loss: -122.8687

#Games: 143 #Frames: 143000  Train_Max: 2429.60  Test_Score: 2398.30  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3035.73  PG Loss: -135.5689

#Games: 154 #Frames: 154000  Train_Max: 2405.98  Test_Score: 2411.65  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3187.61  PG Loss: -148.9980

#Games: 165 #Frames: 165000  Train_Max: 2455.21  Test_Score: 2400.70  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3542.21  PG Loss: -164.1380

#Games: 176 #Frames: 176000  Train_Max: 2414.45  Test_Score: 2398.57  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3935.48  PG Loss: -178.2675

#Games: 187 #Frames: 187000  Train_Max: 2416.31  Test_Score: 2402.28  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3863.86  PG Loss: -192.7075

#Games: 198 #Frames: 198000  Train_Max: 2429.40  Test_Score: 2378.95  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3761.56  PG Loss: -206.6184

#Games: 209 #Frames: 209000  Train_Max: 2392.20  Test_Score: 2419.90  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3499.07  PG Loss: -220.3252

Progress Saved
Sync from RL --> Nevo
#Games: 220 #Frames: 220000  Train_Max: 2379.82  Test_Score: 2394.60  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3627.49  PG Loss: -235.2061

#Games: 231 #Frames: 231000  Train_Max: 3614.73  Test_Score: 3613.11  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3856.37  PG Loss: -248.9965

#Games: 242 #Frames: 242000  Train_Max: 3607.07  Test_Score: 3594.08  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3875.84  PG Loss: -261.4699

