bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[TensorBoard] Logging enabled: parallel_experiments/HalfCheetah-v2_20250728_044213/seed_3/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/HalfCheetah-v2_20250728_044213/seed_3/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 6,
    'alpha': 0.7,
#Games: 132 #Frames: 132000  Train_Max: 1993.57  Test_Score: 1993.54  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2795.54  PG Loss: -126.9841

#Games: 143 #Frames: 143000  Train_Max: 2015.61  Test_Score: 1992.86  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 397.44  PG Loss: -136.3161

#Games: 154 #Frames: 154000  Train_Max: 2007.53  Test_Score: 2015.03  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2014.92  PG Loss: -146.8952

#Games: 165 #Frames: 165000  Train_Max: 1971.08  Test_Score: 1982.53  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 1772.64  PG Loss: -158.5716

#Games: 176 #Frames: 176000  Train_Max: 2014.83  Test_Score: 2010.72  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3484.67  PG Loss: -172.3555

#Games: 187 #Frames: 187000  Train_Max: 1993.12  Test_Score: 2011.68  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3666.63  PG Loss: -188.0712

#Games: 198 #Frames: 198000  Train_Max: 1985.29  Test_Score: 2016.79  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3737.53  PG Loss: -203.4438

#Games: 209 #Frames: 209000  Train_Max: 1973.42  Test_Score: 1989.39  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3801.28  PG Loss: -218.8846

Progress Saved
Sync from RL --> Nevo
#Games: 220 #Frames: 220000  Train_Max: 1992.38  Test_Score: 1988.21  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3737.82  PG Loss: -233.3557

#Games: 231 #Frames: 231000  Train_Max: 3696.10  Test_Score: 3729.66  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3693.06  PG Loss: -248.3981

#Games: 242 #Frames: 242000  Train_Max: 3705.20  Test_Score: 3734.27  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3806.00  PG Loss: -260.4779

